region,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,all,all,all,all,all,all,all,all,all,all
feature,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity
19,0.8434387633,0.0796302924,0.7586712511,0.7163777915999999,0.023769658399999997,0.8496299131,0.2138389161,0.0077568903,0.6387970493999999,0.06978329230000001,0.0637173179,0.09395635449999999,0.06762470820000001,0.7368387461,0.0187246559,0.050562044699999996,0.1468453308,0.014831766299999999,0.0922724504,0.116315923,0.09284391880000001,0.1656283584,0.1737040406,0.75060042,0.0253663965,0.0998080422,0.11495632789999999,0.029666403799999998,0.2689305002,0.13444325210000002,1,0.0885275081,1,0.7234660558,0.0235964518,1,0.1928353378,0.0102418475,1,0.0836986063
20,0.8847964099,0.006625973,0.7688996698,0.3178358786,0.013597750700000001,0.8646535195999999,0.652259383,0.0006234286,0.8544439429999999,0.0299047384,0.10586323019999999,0.0090479148,0.1256233307,0.3714523999,0.0148400915,0.1129050597,0.609243978,0.00047020160000000005,0.0771050381,0.0193036221,0.0093403598,0.0861028442,0.10547699949999999,0.6928948156,0.0334314377,0.0224414207,0.2690325746,0.0047311077,0.0684510189,0.0380726098,1,0.0076247101,1,0.34369061409999996,0.013914522700000001,1,0.6272095287,0.0006455747,1,0.029099857200000002
21,0.5801956274,0.04330841059999999,0.4004750936,0.3074004486,0.0772858689,0.5629653834,0.5485703688,0.0202916912,0.35253736609999997,0.1440291826,0.2779860688,0.0914423473,0.4051344855,0.47034568670000004,0.05645663980000001,0.19703582809999998,0.2903921189,0.0465162056,0.38720394490000004,0.2392621945,0.1418183039,0.0860030312,0.1943904209,0.3048859551,0.1347937069,0.23999878859999998,0.4778518557,0.061285889100000004,0.260258689,0.2172621892,1,0.0627438531,1,0.3569237851,0.0796512974,1,0.4531032307,0.033395468500000004,1,0.18997298420000003
22,0.7068610626,0.033084915299999997,0.5658772953,0.2067330183,0.0946906382,0.7695678368000001,0.5916799625,0.0322613655,0.5301308238,0.2015870193,0.21800760800000002,0.0589788696,0.311118816,0.3256690169,0.0586706859,0.14706137449999998,0.3239672904,0.06345109139999999,0.3215710906,0.3503636927,0.0751313294,0.0676611828,0.1230038888,0.271641791,0.0965132702,0.0833707887,0.3874753069,0.08490792330000001,0.1482980855,0.3408829021,1,0.0413277553,1,0.2412326541,0.0869749513,1,0.5076781501,0.0430163689,1,0.2510891958
23,0.7942003245,0.0224439747,0.6142293890999999,0.3840724739,0.0221303203,0.8687786648,0.3787050638,0.013862526699999999,0.6047811604,0.2372224623,0.1816739185,0.0472354667,0.2957069664,0.5380200861,0.008916347,0.08007020320000001,0.1015587248,0.0316431738,0.3157900314,0.3604211892,0.0241257571,0.1083347549,0.0900636445,0.5130430549,0.0428926534,0.051151132099999996,0.20312759219999998,0.0599337289,0.0794288082,0.2838293529,1,0.0290201223,1,0.4302143912,0.020230593,1,0.2999123216,0.018204309199999998,1,0.2698732872
24,0.5980638558,0.029744588399999997,0.5961547183,0.297767429,0.0580216162,0.697794369,0.580843387,0.0121258102,0.5723779215,0.121389184,0.2718686642,0.016541547099999998,0.1507088461,0.280673481,0.033039295,0.1806258929,0.5606037861,0.009354355600000001,0.200723205,0.1587227329,0.13006748,0.0580740975,0.2531364357,0.4585025416,0.0464838826,0.1215797381,0.3669962897,0.022102381,0.22689887350000001,0.17450116870000001,1,0.0298398431,1,0.3235063015,0.049729022000000005,1,0.5391332634,0.012669966000000001,1,0.1373604351
25,0.4764675847,0.0155386244,0.41624645670000004,0.195880798,0.0585393464,0.45972922619999995,0.7379503846,0.0052489699,0.3796693698,0.0661688174,0.4455589568,0.0202827957,0.5080864525,0.22415291280000002,0.062054819500000004,0.4557236641,0.6857914820000001,0.0081488098,0.5511851157,0.0900556053,0.0779734585,0.0172605893,0.0756670908,0.19418432559999999,0.0657856367,0.08454710970000001,0.7400986874,0.0058414289,0.0691455146,0.065716987,1,0.017786700000000003,1,0.2091454785,0.060670715199999996,1,0.7133985373,0.006587215600000001,1,0.0774559842
26,0.7429989137,0.0231640041,0.676697964,0.286857199,0.0518956449,0.8175295925,0.6426626115999999,0.005691345400000001,0.5407833918,0.0704801894,0.2508009905,0.0298349201,0.29420306,0.40247104240000003,0.033028282799999996,0.1756303763,0.4455492878,0.0112661554,0.3613476299,0.1519796698,0.0062000957999999995,0.1193675407,0.029098975899999997,0.404866667,0.0520325716,0.0068400312,0.17648226390000002,0.1234316199,0.0978689783,0.41865106909999994,1,0.0254335476,1,0.3162684132,0.0471645408,1,0.5864952357,0.0078195142,1,0.097236351
27,0.8994866488,0.0076985131,0.8230227644,0.22897911440000002,0.022914294100000003,0.8738957794,0.6815465128,0.0030082204,0.5774351434,0.08947437289999999,0.0916259503,0.012336745,0.13434742630000002,0.2159897981,0.029174853799999997,0.11334062869999999,0.5107887688,0.015605659,0.3051402164,0.27322143309999997,0.0088874009,0.0403578802,0.042629809299999995,0.2964367068,0.033871911,0.0127635918,0.24879596489999997,0.0619135381,0.1174246403,0.4547673283,1,0.0084137524,1,0.2293509941,0.0235853086,1,0.6429133759000001,0.0046859878,1,0.12773563
28,0.9474506641,0.0266778114,0.8506171155,0.17664925050000002,0.1204431654,0.9567746611,0.7975240013,0.0039003908000000004,0.8951384269,0.0258267483,0.030390456,0.0485255058,0.0496288945,0.3191475813,0.09895027070000001,0.0252130336,0.6507864071,0.0045714538,0.0336524755,0.0300660115,0.0221588799,0.1337689003,0.09975399,0.5482642059,0.09695062130000001,0.0180123053,0.39736108509999996,0.013266678600000002,0.0712090975,0.05437470900000001,1,0.029714791400000003,1,0.19407157149999998,0.11926941810000001,1,0.7789657044,0.0041283312,1,0.0269627242
