region,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,all,all,all,all,all,all,all,all,all,all
feature,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity
9,0.8300252786117864,0.011825220520146106,0.7827573147972732,0.2294875680318261,0.03363200973616711,0.8109220701683685,0.6526836526411202,0.006071576386956216,0.7807309251594674,0.11782877932705375,0.15516528436226182,0.009559094413616184,0.11828723497259055,0.189724491142946,0.03470247814791017,0.15641918988420078,0.6887587592641823,0.00612250993636256,0.14717453089974047,0.12151674959287175,0.014809437025951718,0.0837866067636558,0.09895545023013624,0.4383867542191186,0.07591470243719939,0.032658739947430744,0.3971995201193653,0.031423550200751625,0.07209454394079215,0.16441372566151613,1,0.01253930403629909,1.0,0.23473699875210385,0.03442429214651965,1.0,0.6444261180084284,0.006454927965312411,1.0,0.12083688323946773
10,0.8805739333193255,0.02220022221393091,0.7062143164234098,0.2519148263514532,0.04769959190439112,0.9044143709113008,0.5412664024637347,0.018226091512015027,0.8382619827959777,0.20681877118481207,0.0949380326655641,0.024366394944269475,0.08356893692239355,0.3679445951382248,0.02605158487160396,0.053255116955143435,0.39339179514307937,0.01580502023965344,0.07837105311370017,0.23866360971869585,0.02448803401511038,0.2376293173050716,0.21021674665419665,0.6202945563414061,0.0802809747972044,0.042330512133555834,0.2095610600966225,0.06518079724509211,0.08336696409032211,0.17014438356197156,1,0.02768130939979935,1.0,0.2967881080052295,0.04644222671810656,1.0,0.4979352818951793,0.019146068199634998,1.0,0.2052766100995912
11,0.7609439571030869,0.034523249658383215,0.6008188752748825,0.3308363810829462,0.044442712413154936,0.7466873249507493,0.4258946155350688,0.025385468521966176,0.6142273472419514,0.24326900338198498,0.1918653468537329,0.034183406106998236,0.1499999465171919,0.3052992298578982,0.038593616347759915,0.16349239968668114,0.3446877502938505,0.039189870232488176,0.239090137267071,0.3500130198482513,0.04719069604318014,0.2308764443571036,0.2491811782079256,0.556550633097703,0.08620499860965675,0.08982027536256952,0.20780572347252066,0.09775313025449227,0.1466825154909776,0.2356436434297763,1,0.043724089385655404,1.0,0.3629624761159965,0.04529126492175453,1.0,0.3759719160170495,0.03144913517243906,1.0,0.261065607866954
12,0.7732177734160364,0.0221720214062646,0.5666604748579661,0.2265427589840639,0.06011253789125005,0.7298348209712326,0.6142002090783726,0.015586683666487059,0.6426740725387857,0.15925703193756352,0.14264556885292073,0.023036769887468382,0.1086164672264692,0.223564726430108,0.06068589772001143,0.13592638096295528,0.5889378670800638,0.019320286687325983,0.14696268621228312,0.18749740648982816,0.08413665773104287,0.11676483457675575,0.32472305791556466,0.4401881600098913,0.10160968641597168,0.13423879806581204,0.38305523289400056,0.04688666770924033,0.2103632412489312,0.1767566070961082,1,0.030254097090822708,1.0,0.26846570554302346,0.0636857565124199,1.0,0.5651281379781898,0.018752741637657847,1.0,0.16640615647878665
13,0.673804440865183,0.005608478366879362,0.6323501550819797,0.2418462302853811,0.014905468678886428,0.5949918967588952,0.6427467799311994,0.002676318770084633,0.5323609554853825,0.11540698978341955,0.3162521782459994,0.005156608306163381,0.2728829370127187,0.17155957474805686,0.020449986511629048,0.3831405313452019,0.6803679436627387,0.004450650974149518,0.4155196343078333,0.14807248158920444,0.009943380888817641,0.05695658256166899,0.09476690790530164,0.50929436520019,0.037122305591010485,0.021867571895902896,0.3319402290379823,0.01775541918209905,0.05211941020678415,0.15876540576182765,1,0.005976147233821269,1.0,0.2277201401928679,0.016879844992377064,1.0,0.6432038096959886,0.0033873924334095642,1.0,0.12907605011114354
14,0.3942351188400342,0.013531418784634142,0.33247033329269104,0.06150859959586082,0.17410328249676446,0.6018725451656668,0.7914062273779572,0.03235760668109205,0.3753127427596147,0.147085173026182,0.5111903616806179,0.010112194563221268,0.32216794603396137,0.13913500388202962,0.03907817031881648,0.17516976324212905,0.5376816422012284,0.023488646733150324,0.3532663427354485,0.323183353916742,0.09457451947934788,0.05859300901325956,0.3453617206733476,0.13787040933379222,0.2688475301303891,0.2229576915922042,0.6326030980772424,0.09754557133784343,0.2714209145049367,0.22952649258896535,1,0.01604522256107049,1.0,0.09779238178529566,0.1140401382599356,1.0,0.6950515455373951,0.03398900027082178,1.0,0.2071560726773093
15,0.7097583143098699,0.02889765221156498,0.7159627961865875,0.2283935936482211,0.062355770410866276,0.7787440760917588,0.492830987949311,0.03527224628960505,0.6904967711373438,0.27877541840246794,0.27074258738859924,0.015166027835153213,0.14333288109897258,0.16474280022811158,0.04134809399618688,0.19697889092410253,0.4491486408351418,0.035544698427594015,0.2654296619767391,0.38610855893674656,0.0194990983015308,0.20671667196079896,0.14070432271443986,0.5751336658327774,0.07075765993447088,0.02427703298413872,0.19686420044329347,0.08194937122160309,0.04407356688591715,0.2280021337239292,1,0.02864722724481906,1.0,0.23532386201930916,0.0568319270130729,1.0,0.4668482724845395,0.036256172533865615,1.0,0.29782786549615137
16,0.7550621291497853,0.007096057250217404,0.6689526109988401,0.17372530021706928,0.027660659694748933,0.7513197252192269,0.6771868151888462,0.0060897069285333885,0.6556904253805662,0.1490878845940846,0.2378329794785849,0.009734998003930928,0.2890703162056911,0.21097719381691926,0.027274095855881395,0.233346885172852,0.591085093725136,0.00913332479601033,0.30975672215108835,0.1979377124579448,0.007104891371629791,0.04732157099752186,0.04197707279546877,0.3346201812708021,0.05999308009786719,0.015333389607921166,0.42422292654640203,0.03410410857955529,0.034552852468345434,0.241156892182796,1,0.008009482297883154,1.0,0.18704766442047085,0.02779844039993841,1.0,0.6491846985808762,0.0070126189149214025,1.0,0.16376763699865296
17,0.8341051214293941,0.014123676108557982,0.6602600624026229,0.25829288276696183,0.03691338613231858,0.7952697185578054,0.6750696379272904,0.0036437944565985594,0.6922053087524729,0.06663747930574777,0.13999014227659815,0.026460496904884584,0.20760697563469352,0.34520043298877123,0.04237197364133041,0.15320957967203785,0.5527796284459028,0.007820089463016794,0.2493270758265821,0.10201993856532604,0.0259047362940079,0.09100924333619947,0.1321329619626836,0.5115187364314256,0.07700037170392662,0.05152070177015679,0.4327816757386024,0.009910052128116941,0.058467615420945036,0.055699587829972,1,0.017842409750923906,1.0,0.29274256483464195,0.03871597736438862,1.0,0.6352177016416846,0.004390760341267081,1.0,0.07203973352367357
18,0.6657122779332176,0.002791736235455562,0.5939418460796291,0.04262202448753512,0.05434555977559172,0.5951013019675689,0.8297050953906079,0.008362554571414141,0.5166211401291011,0.127672880121857,0.33344356779252465,0.003810508349136522,0.40605815392037103,0.04092103096502027,0.07373512910910904,0.4044241266484848,0.791841199394657,0.01557294385007449,0.4818808899251919,0.16723776964032275,0.0008441542742577673,0.0,0.0,0.0,0.03417743424088602,0.0004745713839462714,0.6412337662337663,0.019122058144900783,0.0014979699457070624,0.3587662337662338,1,0.003129082587733113,1.0,0.04188930644598792,0.060793861942746365,1.0,0.8138528279624916,0.010775895178594069,1.0,0.1442578655915205
